No CSRF token
Missing CSRF protection
No CSRF protection
CSRF token missing
Missing anti-CSRF token
No anti-CSRF token
Anti-CSRF token missing
No CSRF defense
CSRF disabled
CSRF protection disabled
CSRF token not found
CSRF token validation disabled
No CSRF token validation
CSRF token missing in request
CSRF token missing in form
CSRF token missing in header
CSRF token missing in cookie
CSRF token missing in session
CSRF token missing in URL
CSRF token missing in POST
CSRF token missing in GET
CSRF token missing in AJAX
CSRF token missing in fetch
CSRF token missing in XMLHttpRequest
CSRF token missing in request body
CSRF token missing in query string
CSRF token missing in form data
CSRF token missing in multipart form
CSRF token missing in application/json
CSRF token missing in application/x-www-form-urlencoded
CSRF token missing in text/plain
CSRF token missing in multipart/form-data
CSRF token missing in application/xml
CSRF token missing in text/xml
CSRF token missing in application/soap+xml
CSRF token missing in application/rss+xml
CSRF token missing in application/atom+xml
CSRF token missing in application/javascript
CSRF token missing in application/ecmascript
CSRF token missing in application/octet-stream
CSRF token missing in application/pdf
CSRF token missing in application/zip
CSRF token missing in application/gzip
CSRF token missing in application/x-tar
CSRF token missing in application/x-gzip
CSRF token missing in application/x-bzip2
CSRF token missing in application/x-7z-compressed
CSRF token missing in application/x-rar-compressed
CSRF token missing in application/vnd.ms-excel
CSRF token missing in application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
CSRF token missing in application/msword
CSRF token missing in application/vnd.openxmlformats-officedocument.wordprocessingml.document
CSRF token missing in application/vnd.ms-powerpoint
CSRF token missing in application/vnd.openxmlformats-officedocument.presentationml.presentation
CSRF token missing in image/jpeg
CSRF token missing in image/png
CSRF token missing in image/gif
CSRF token missing in image/svg+xml
CSRF token missing in image/webp
CSRF token missing in image/bmp
CSRF token missing in image/tiff
CSRF token missing in audio/mpeg
CSRF token missing in audio/ogg
CSRF token missing in audio/wav
CSRF token missing in audio/webm
CSRF token missing in video/mp4
CSRF token missing in video/webm
CSRF token missing in video/ogg
CSRF token missing in video/quicktime
CSRF token missing in video/x-msvideo
CSRF token missing in video/x-matroska
CSRF token missing in font/ttf
CSRF token missing in font/otf
CSRF token missing in font/woff
CSRF token missing in font/woff2
CSRF token missing in text/html
CSRF token missing in text/css
CSRF token missing in text/javascript
CSRF token missing in text/plain
CSRF token missing in text/xml
CSRF token missing in text/csv
CSRF token missing in text/markdown
CSRF token missing in text/calendar
CSRF token missing in text/vcard
CSRF token missing in text/rtf
CSRF token missing in text/x-python
CSRF token missing in text/x-perl
CSRF token missing in text/x-ruby
CSRF token missing in text/x-php
CSRF token missing in text/x-java
CSRF token missing in text/x-c
CSRF token missing in text/x-c++
CSRF token missing in text/x-go
CSRF token missing in text/x-rust
CSRF token missing in text/x-swift
CSRF token missing in text/x-kotlin
CSRF token missing in text/x-scala
CSRF token missing in text/x-clojure
CSRF token missing in text/x-haskell
CSRF token missing in text/x-erlang
CSRF token missing in text/x-elixir
CSRF token missing in text/x-lua
CSRF token missing in text/x-r
CSRF token missing in text/x-matlab
CSRF token missing in text/x-julia
CSRF token missing in text/x-dart
CSRF token missing in text/x-typescript
CSRF token missing in text/x-jsx
CSRF token missing in text/x-tsx
CSRF token missing in text/x-vue
CSRF token missing in text/x-angular
CSRF token missing in text/x-react
CSRF token missing in text/x-svelte
CSRF token missing in text/x-solidity
CSRF token missing in text/x-asm
CSRF token missing in text/x-verilog
CSRF token missing in text/x-vhdl
CSRF token missing in text/x-systemverilog
CSRF token missing in text/x-mips
CSRF token missing in text/x-arm
CSRF token missing in text/x-x86
CSRF token missing in text/x-riscv
CSRF token missing in text/x-llvm
CSRF token missing in text/x-wasm
CSRF token missing in text/x-json
CSRF token missing in text/x-yaml
CSRF token missing in text/x-toml
CSRF token missing in text/x-ini
CSRF token missing in text/x-env
CSRF token missing in text/x-dockerfile
CSRF token missing in text/x-nginx
CSRF token missing in text/x-apache
CSRF token missing in text/x-htaccess
CSRF token missing in text/x-gitignore
CSRF token missing in text/x-gitattributes
CSRF token missing in text/x-gitmodules
CSRF token missing in text/x-gitconfig
CSRF token missing in text/x-ssh-config
CSRF token missing in text/x-known-hosts
CSRF token missing in text/x-authorized-keys
CSRF token missing in text/x-id-rsa
CSRF token missing in text/x-id-dsa
CSRF token missing in text/x-id-ecdsa
CSRF token missing in text/x-id-ed25519
CSRF token missing in text/x-cert
CSRF token missing in text/x-key
CSRF token missing in text/x-crl
CSRF token missing in text/x-pem
CSRF token missing in text/x-der
CSRF token missing in text/x-pkcs7
CSRF token missing in text/x-pkcs8
CSRF token missing in text/x-pkcs12
CSRF token missing in text/x-spki
CSRF token missing in text/x-ocsp
CSRF token missing in text/x-tsa
CSRF token missing in text/x-tsp
CSRF token missing in text/x-jws
CSRF token missing in text/x-jwe
CSRF token missing in text/x-jwk
CSRF token missing in text/x-jwks
CSRF token missing in text/x-jwt
CSRF token missing in text/x-oauth
CSRF token missing in text/x-oauth2
CSRF token missing in text/x-openid
CSRF token missing in text/x-saml
CSRF token missing in text/x-saml2
CSRF token missing in text/x-ldap
CSRF token missing in text/x-kerberos
CSRF token missing in text/x-ntlm
CSRF token missing in text/x-basic-auth
CSRF token missing in text/x-bearer
CSRF token missing in text/x-apikey
CSRF token missing in text/x-api-token
CSRF token missing in text/x-access-token
CSRF token missing in text/x-refresh-token
CSRF token missing in text/x-id-token
CSRF token missing in text/x-session-token
CSRF token missing in text/x-csrf-token
CSRF token missing in text/x-xsrf-token
CSRF token missing in text/x-xss-token
CSRF token missing in text/x-sql-injection
CSRF token missing in text/x-command-injection
CSRF token missing in text/x-lfi
CSRF token missing in text/x-rfi
CSRF token missing in text/x-ssrf
CSRF token missing in text/x-xxe
CSRF token missing in text/x-ssti
CSRF token missing in text/x-ssti
CSRF token missing in text/x-ldap-injection
CSRF token missing in text/x-nosql-injection
CSRF token missing in text/x-open-redirect
CSRF token missing in text/x-file-upload
CSRF token missing in text/x-directory-traversal
